,Service Area,School Name,Enrollment,Change,Year
15,Eckstein,Jane Addams,533.0,85.0,2011
16,Eckstein,John Rogers,247.0,-33.0,2011
17,Eckstein,Olympic Hills,267.0,-2.0,2011
18,Eckstein,Olympic View,469.0,-18.0,2011
19,Eckstein,Pinehurst,143.0,-7.0,2011
20,Eckstein,Sacajawea,260.0,-13.0,2011
21,Eckstein,Sand Point,202.0,123.0,2011
22,Eckstein,Thornton Creek,371.0,22.0,2011
23,Eckstein,View Ridge,590.0,44.0,2011
24,Eckstein,Wedgwood,446.0,-3.0,2011
25,Hamilton,B. F. Day,321.0,-10.0,2011
26,Hamilton,J. Stanford Intl,460.0,34.0,2011
27,Hamilton,Laurelhurst,420.0,-17.0,2011
28,Hamilton,McDonald Intl,187.0,130.0,2011
29,Hamilton,West Woodland,473.0,14.0,2011
30,Madison,Alki,355.0,-8.0,2011
31,Madison,Gatewood,484.0,22.0,2011
32,Madison,Lafayette,547.0,21.0,2011
33,Madison,Pathfinder,490.0,-2.0,2011
34,Madison,Schmitz Park,463.0,49.0,2011
35,McClure,Catharine Blaine,581.0,33.0,2011
36,McClure,Coe,423.0,-10.0,2011
37,McClure,John Hay,530.0,43.0,2011
38,McClure,Lawton,440.0,4.0,2011
39,McClure,Queen Anne,223.0,110.0,2011
40,Mercer,Beacon Hill Intl,452.0,4.0,2011
41,Mercer,Dearborn Park,309.0,-49.0,2011
42,Mercer,Hawthorne,296.0,-3.0,2011
43,Mercer,Kimball,471.0,-26.0,2011
44,Mercer,Maple,480.0,17.0,2011
45,Mercer,Orca,489.0,-19.0,2011
46,Mercer,Van Asselt,532.0,-21.0,2011
47,Washington,Gatzert,371.0,22.0,2011
48,Washington,John Muir,404.0,-12.0,2011
49,Washington,Leschi,378.0,28.0,2011
50,Washington,Lowell,616.0,71.0,2011
51,Washington,Madrona,315.0,-41.0,2011
52,Washington,McGilvra,298.0,29.0,2011
53,Washington,Montlake,238.0,-13.0,2011
54,Washington,Stevens,371.0,-12.0,2011
55,Washington,T. Marshall,451.0,40.0,2011
56,Washington,TOPS,501.0,-9.0,2011
57,Whitman,Adams,473.0,40.0,2011
58,Whitman,Broadview-Thomson,656.0,-90.0,2011
59,Whitman,Daniel Bagley,393.0,8.0,2011
60,Whitman,Greenwood,332.0,5.0,2011
61,Whitman,Loyal Heights,401.0,6.0,2011
62,Whitman,North Beach,315.0,-13.0,2011
63,Whitman,Northgate,231.0,-35.0,2011
64,Whitman,Salmon Bay,617.0,28.0,2011
65,Whitman,Viewlands,176.0,176.0,2011
66,Whitman,Whittier,460.0,7.0,2011
67,Middle Schools,Aki Kurose,658.0,70.0,2011
68,Middle Schools,Denny Intl,861.0,80.0,2011
69,Middle Schools,Eckstein,1278.0,65.0,2011
70,Middle Schools,Hamilton Intl,919.0,66.0,2011
71,Middle Schools,Madison,828.0,-21.0,2011
72,Middle Schools,McClure,483.0,-31.0,2011
73,Middle Schools,Mercer,924.0,117.0,2011
74,Middle Schools,Washington,1123.0,62.0,2011
75,Middle Schools,Whitman,983.0,29.0,2011
76,High Schools,Ballard,1636.0,26.0,2011
77,High Schools,Center School,278.0,-21.0,2011
78,High Schools,Chief Sealth Intl,1239.0,161.0,2011
79,High Schools,Cleveland,819.0,81.0,2011
80,High Schools,Franklin,1415.0,114.0,2011
81,High Schools,Garfield,1721.0,-67.0,2011
82,High Schools,Ingraham,949.0,-21.0,2011
83,High Schools,Nathan Hale,1144.0,15.0,2011
84,High Schools,Nova,340.0,8.0,2011
85,High Schools,Rainier Beach,365.0,-60.0,2011
86,High Schools,Roosevelt,1662.0,-23.0,2011
87,High Schools,West Seattle,995.0,-21.0,2011
88,Service Schools,Ed. Serv. Center,16.0,-33.0,2011
89,Service Schools,Home School Resource,184.0,30.0,2011
90,Service Schools,InterAgency,420.0,54.0,2011
91,Service Schools,Middle College,184.0,10.0,2011
92,Service Schools,Secondary BOC,203.0,-9.0,2011
93,Service Schools,South Lake,143.0,-22.0,2011
94,Service Schools,SpEd Consortium,151.0,6.0,2011
95,All,TOTAL,48496.0,1488.0,2011
0,Aki Kurose,Martin Luther King Jr.,362.0,13.0,2012
1,Aki Kurose,Dunlap,376.0,12.0,2012
2,Aki Kurose,Emerson,287.0,-37.0,2012
3,Aki Kurose,Graham Hill,403.0,15.0,2012
4,Aki Kurose,Rainier View,181.0,12.0,2012
5,Aki Kurose,South Shore,621.0,27.0,2012
6,Aki Kurose,Wing Luke,331.0,-20.0,2012
7,Denny,Arbor Heights,337.0,-26.0,2012
8,Denny,Concord Intl,409.0,18.0,2012
9,Denny,Highland Park,427.0,-7.0,2012
10,Denny,K-5 STEM at Boren,268.0,268.0,2012
11,Denny,Roxhill,368.0,-9.0,2012
12,Denny,Sanislo,281.0,-21.0,2012
13,Denny,West Seattle Elem,399.0,-7.0,2012
14,Eckstein,Bryant,579.0,31.0,2012
15,Eckstein,Green Lake,259.0,-5.0,2012
16,Eckstein,Jane Addams,581.0,48.0,2012
17,Eckstein,John Rogers,307.0,60.0,2012
18,Eckstein,Olympic Hills,271.0,4.0,2012
19,Eckstein,Olympic View,481.0,12.0,2012
20,Eckstein,Pinehurst,148.0,5.0,2012
21,Eckstein,Sacajawea,260.0,0.0,2012
22,Eckstein,Sand Point,231.0,29.0,2012
23,Eckstein,Thornton Creek,362.0,-9.0,2012
24,Eckstein,View Ridge,598.0,8.0,2012
25,Eckstein,Wedgwood,471.0,25.0,2012
26,Hamilton,APP at Lincoln,524.0,96.0,2012
27,Hamilton,B. F. Day,336.0,15.0,2012
28,Hamilton,J. Stanford Intl,451.0,-9.0,2012
29,Hamilton,Laurelhurst,410.0,-10.0,2012
30,Hamilton,McDonald Intl,277.0,90.0,2012
31,Hamilton,West Woodland,486.0,13.0,2012
32,Madison,Alki,357.0,2.0,2012
33,Madison,Gatewood,461.0,-23.0,2012
34,Madison,Lafayette,548.0,1.0,2012
35,Madison,Pathfinder,484.0,-6.0,2012
36,Madison,Schmitz Park,536.0,73.0,2012
37,McClure,Catharine Blaine,621.0,40.0,2012
38,McClure,Coe,452.0,29.0,2012
39,McClure,John Hay,546.0,16.0,2012
40,McClure,Lawton,433.0,-7.0,2012
41,McClure,Queen Anne,279.0,56.0,2012
42,Mercer,Beacon Hill Intl,461.0,9.0,2012
43,Mercer,Dearborn Park,337.0,28.0,2012
44,Mercer,Hawthorne,321.0,25.0,2012
45,Mercer,Kimball,475.0,4.0,2012
46,Mercer,Maple,473.0,-7.0,2012
47,Mercer,Orca,492.0,3.0,2012
48,Mercer,Van Asselt,523.0,-9.0,2012
49,Washington,Gatzert,378.0,7.0,2012
50,Washington,John Muir,459.0,55.0,2012
51,Washington,Leschi,366.0,-12.0,2012
52,Washington,Lowell,182.0,-6.0,2012
53,Washington,Madrona,275.0,-40.0,2012
54,Washington,McGilvra,301.0,3.0,2012
55,Washington,Montlake,238.0,0.0,2012
56,Washington,Stevens,377.0,6.0,2012
57,Washington,T. Marshall,455.0,4.0,2012
58,Washington,TOPS,498.0,-3.0,2012
59,Whitman,Adams,482.0,9.0,2012
60,Whitman,Broadview-Thomson,639.0,-17.0,2012
61,Whitman,Daniel Bagley,402.0,9.0,2012
62,Whitman,Greenwood,357.0,25.0,2012
63,Whitman,Loyal Heights,426.0,25.0,2012
64,Whitman,North Beach,314.0,-1.0,2012
65,Whitman,Northgate,248.0,17.0,2012
66,Whitman,Salmon Bay,694.0,77.0,2012
67,Whitman,Viewlands,246.0,70.0,2012
68,Whitman,Whittier,466.0,6.0,2012
69,Middle Schools,Aki Kurose,743.0,85.0,2012
70,Middle Schools,Denny Intl,896.0,35.0,2012
71,Middle Schools,Eckstein,1298.0,20.0,2012
72,Middle Schools,Hamilton Intl,974.0,55.0,2012
73,Middle Schools,Madison,752.0,-76.0,2012
74,Middle Schools,McClure,448.0,-35.0,2012
75,Middle Schools,Mercer,983.0,59.0,2012
76,Middle Schools,Washington,1160.0,37.0,2012
77,Middle Schools,Whitman,971.0,-12.0,2012
78,High Schools,Ballard,1609.0,-27.0,2012
79,High Schools,Center School,285.0,7.0,2012
80,High Schools,Chief Sealth Intl,1275.0,36.0,2012
81,High Schools,Cleveland,838.0,19.0,2012
82,High Schools,Franklin,1445.0,30.0,2012
83,High Schools,Garfield,1669.0,-52.0,2012
84,High Schools,Ingraham,1018.0,69.0,2012
85,High Schools,Nathan Hale,1171.0,27.0,2012
86,High Schools,Nova,340.0,0.0,2012
87,High Schools,Rainier Beach,407.0,42.0,2012
88,High Schools,Roosevelt,1691.0,29.0,2012
89,High Schools,West Seattle,968.0,-27.0,2012
90,Service Schools,Ed. Serv. Center,18.0,2.0,2012
91,Service Schools,Home School Resource,182.0,-2.0,2012
92,Service Schools,InterAgency,394.0,-26.0,2012
93,Service Schools,Middle College,169.0,-15.0,2012
94,Service Schools,World School,187.0,-16.0,2012
95,Service Schools,South Lake,127.0,-16.0,2012
96,Service Schools,SpEd Consortium,162.0,11.0,2012
97,All,TOTAL,49864.0,1368.0,2012
0,Aki Kurose,Dunlap,362.0,-14.0,2013
1,Aki Kurose,Emerson,285.0,-2.0,2013
2,Aki Kurose,Graham Hill,398.0,-5.0,2013
3,Aki Kurose,Martin Luther King Jr.,363.0,1.0,2013
4,Aki Kurose,Rainier View,201.0,20.0,2013
5,Aki Kurose,South Shore,625.0,4.0,2013
6,Aki Kurose,Wing Luke,350.0,19.0,2013
7,Denny,Arbor Heights,364.0,27.0,2013
8,Denny,Concord Intl,394.0,-15.0,2013
9,Denny,Highland Park,419.0,-8.0,2013
10,Denny,K-5 STEM at Boren,327.0,59.0,2013
11,Denny,Roxhill,377.0,9.0,2013
12,Denny,Sanislo,273.0,-8.0,2013
13,Denny,West Seattle Elem,424.0,25.0,2013
14,Eckstein,Bryant,594.0,15.0,2013
15,Eckstein,Green Lake,257.0,-2.0,2013
16,Eckstein,Jane Addams,737.0,156.0,2013
17,Eckstein,John Rogers,323.0,16.0,2013
18,Eckstein,Laurelhurst,427.0,17.0,2013
19,Eckstein,Olympic Hills,297.0,26.0,2013
20,Eckstein,Olympic View,465.0,-16.0,2013
21,Eckstein,Pinehurst,152.0,4.0,2013
22,Eckstein,Sacajawea,252.0,-8.0,2013
23,Eckstein,Sand Point,271.0,40.0,2013
24,Eckstein,Thornton Creek,389.0,27.0,2013
25,Eckstein,View Ridge,601.0,3.0,2013
26,Eckstein,Wedgwood,482.0,11.0,2013
27,Hamilton,APP at Lincoln,598.0,74.0,2013
28,Hamilton,B. F. Day,324.0,-12.0,2013
29,Hamilton,J. Stanford Intl,458.0,7.0,2013
30,Hamilton,McDonald Intl,365.0,88.0,2013
31,Hamilton,West Woodland,519.0,33.0,2013
32,Madison,Alki,384.0,27.0,2013
33,Madison,Gatewood,500.0,39.0,2013
34,Madison,Lafayette,571.0,23.0,2013
35,Madison,Pathfinder,502.0,18.0,2013
36,Madison,Schmitz Park,584.0,48.0,2013
37,McClure,Catharine Blaine,642.0,21.0,2013
38,McClure,Coe,508.0,56.0,2013
39,McClure,John Hay,547.0,1.0,2013
40,McClure,Lawton,422.0,-11.0,2013
41,McClure,Queen Anne,338.0,59.0,2013
42,Mercer,Beacon Hill Intl,465.0,4.0,2013
43,Mercer,Dearborn Park,349.0,12.0,2013
44,Mercer,Hawthorne,348.0,27.0,2013
45,Mercer,Kimball,447.0,-28.0,2013
46,Mercer,Maple,453.0,-20.0,2013
47,Mercer,Orca,484.0,-8.0,2013
48,Mercer,Van Asselt,531.0,8.0,2013
49,Washington,Gatzert,374.0,-4.0,2013
50,Washington,John Muir,450.0,-9.0,2013
51,Washington,Leschi,379.0,13.0,2013
52,Washington,Lowell,208.0,26.0,2013
53,Washington,Madrona,285.0,10.0,2013
54,Washington,McGilvra,289.0,-12.0,2013
55,Washington,Montlake,232.0,-6.0,2013
56,Washington,Stevens,406.0,29.0,2013
57,Washington,T. Marshall,496.0,41.0,2013
58,Washington,TOPS,500.0,2.0,2013
59,Whitman,Adams,515.0,33.0,2013
60,Whitman,Broadview-Thomson,661.0,22.0,2013
61,Whitman,Daniel Bagley,399.0,-3.0,2013
62,Whitman,Greenwood,367.0,10.0,2013
63,Whitman,Loyal Heights,440.0,14.0,2013
64,Whitman,North Beach,306.0,-8.0,2013
65,Whitman,Northgate,216.0,-32.0,2013
66,Whitman,Salmon Bay,675.0,-19.0,2013
67,Whitman,Viewlands,314.0,68.0,2013
68,Whitman,Whittier,476.0,10.0,2013
69,Middle Schools,Aki Kurose,741.0,-2.0,2013
70,Middle Schools,Denny Intl,944.0,48.0,2013
71,Middle Schools,Eckstein,1220.0,-78.0,2013
72,Middle Schools,Hamilton Intl,1108.0,134.0,2013
73,Middle Schools,Madison,777.0,25.0,2013
74,Middle Schools,McClure,520.0,72.0,2013
75,Middle Schools,Mercer,967.0,-16.0,2013
76,Middle Schools,Washington,1165.0,5.0,2013
77,Middle Schools,Whitman,955.0,-16.0,2013
78,High Schools,Ballard,1582.0,-27.0,2013
79,High Schools,Center School,283.0,-2.0,2013
80,High Schools,Chief Sealth Intl,1249.0,-26.0,2013
81,High Schools,Cleveland,843.0,5.0,2013
82,High Schools,Franklin,1373.0,-72.0,2013
83,High Schools,Garfield,1604.0,-65.0,2013
84,High Schools,Ingraham,1074.0,56.0,2013
85,High Schools,Nathan Hale,1119.0,-52.0,2013
86,High Schools,Nova,331.0,-9.0,2013
87,High Schools,Rainier Beach,484.0,77.0,2013
88,High Schools,Roosevelt,1712.0,21.0,2013
89,High Schools,West Seattle,964.0,-4.0,2013
90,Service Schools,Ed. Serv. Center,15.0,-3.0,2013
91,Service Schools,Home School Resource,146.0,-36.0,2013
92,Service Schools,InterAgency,466.0,72.0,2013
93,Service Schools,Middle College,163.0,-6.0,2013
94,Service Schools,World School,224.0,37.0,2013
95,Service Schools,South Lake,107.0,-20.0,2013
96,Service Schools,SpEd Consortium,138.0,-24.0,2013
97,All,TOTAL,51010.0,1146.0,2013
0,Aki Kurose ,Dunlap,380.0,18.0,2014
1,Aki Kurose ,Emerson,274.0,-11.0,2014
2,Aki Kurose ,Graham Hill,385.0,-13.0,2014
3,Aki Kurose ,Martin Luther King Jr.,367.0,4.0,2014
4,Aki Kurose ,Rainier View,188.0,-13.0,2014
5,Aki Kurose ,South Shore,641.0,16.0,2014
6,Aki Kurose ,Wing Luke,348.0,-2.0,2014
7,Denny ,Arbor Heights,371.0,7.0,2014
8,Denny ,Concord Intl,412.0,18.0,2014
9,Denny ,Highland Park,363.0,-56.0,2014
10,Denny ,K-5 STEM at Boren,354.0,27.0,2014
11,Denny ,Roxhill,372.0,-5.0,2014
12,Denny ,Sanislo,280.0,7.0,2014
13,Denny ,West Seattle Elem,421.0,-3.0,2014
14,Eckstein ,Bryant,589.0,-5.0,2014
15,Eckstein ,Hazel Wolf K-8,711.0,-26.0,2014
16,Eckstein ,Laurelhurst,421.0,-6.0,2014
17,Eckstein ,Olympic View,472.0,7.0,2014
18,Eckstein ,Sand Point,259.0,-12.0,2014
19,Eckstein ,Thornton Creek,402.0,13.0,2014
20,Eckstein ,View Ridge,588.0,-13.0,2014
21,Eckstein ,Wedgwood,469.0,-13.0,2014
22,Hamilton ,APP at Lincoln,686.0,88.0,2014
23,Hamilton ,B. F. Day,324.0,0.0,2014
24,Hamilton ,Green Lake,296.0,39.0,2014
25,Hamilton ,J. Stanford Intl,469.0,11.0,2014
26,Hamilton ,Licton Springs K-8,116.0,-36.0,2014
27,Hamilton ,McDonald Intl,408.0,43.0,2014
28,Hamilton ,West Woodland,520.0,1.0,2014
29,Jane Addams,John Rogers,352.0,29.0,2014
30,Jane Addams,Olympic Hills,300.0,3.0,2014
31,Jane Addams,Sacajawea,242.0,-10.0,2014
32,Madison,Alki,410.0,26.0,2014
33,Madison,Fairmount Park,364.0,364.0,2014
34,Madison,Gatewood,405.0,-95.0,2014
35,Madison,Lafayette,505.0,-66.0,2014
36,Madison,Pathfinder,505.0,3.0,2014
37,Madison,Schmitz Park,606.0,22.0,2014
38,McClure,Catharine Blaine,673.0,31.0,2014
39,McClure,Coe,500.0,-8.0,2014
40,McClure,John Hay,518.0,-29.0,2014
41,McClure,Lawton,419.0,-3.0,2014
42,McClure,Queen Anne,398.0,60.0,2014
43,Mercer ,Beacon Hill Intl,479.0,14.0,2014
44,Mercer ,Dearborn Park,370.0,21.0,2014
45,Mercer ,Hawthorne,362.0,14.0,2014
46,Mercer ,Kimball,436.0,-11.0,2014
47,Mercer ,Maple,469.0,16.0,2014
48,Mercer ,Orca,475.0,-9.0,2014
49,Mercer ,Van Asselt,524.0,-7.0,2014
50,Washington ,Bailey Gatzert,337.0,-37.0,2014
51,Washington ,John Muir,439.0,-11.0,2014
52,Washington ,Leschi,382.0,3.0,2014
53,Washington ,Lowell,266.0,58.0,2014
54,Washington ,Madrona,290.0,5.0,2014
55,Washington ,McGilvra,286.0,-3.0,2014
56,Washington ,Montlake,251.0,19.0,2014
57,Washington ,Stevens,365.0,-41.0,2014
58,Washington ,T. Marshall,500.0,4.0,2014
59,Washington ,TOPS,493.0,-7.0,2014
60,Whitman ,Adams,533.0,18.0,2014
61,Whitman ,Broadview-Thomson,671.0,10.0,2014
62,Whitman ,Daniel Bagley,429.0,30.0,2014
63,Whitman ,Greenwood,369.0,2.0,2014
64,Whitman ,Loyal Heights,450.0,10.0,2014
65,Whitman ,North Beach,294.0,-12.0,2014
66,Whitman ,Northgate,207.0,-9.0,2014
67,Whitman ,Salmon Bay,673.0,-2.0,2014
68,Whitman ,Viewlands,358.0,44.0,2014
69,Whitman ,Whittier,468.0,-8.0,2014
70,Middle Schools,Aki Kurose,730.0,-11.0,2014
71,Middle Schools,Denny Intl,912.0,-32.0,2014
72,Middle Schools,Eckstein,881.0,-339.0,2014
73,Middle Schools,Hamilton Intl,956.0,-152.0,2014
74,Middle Schools,Jane Addams,728.0,728.0,2014
75,Middle Schools,Madison,764.0,-13.0,2014
76,Middle Schools,McClure,540.0,20.0,2014
77,Middle Schools,Mercer,1074.0,107.0,2014
78,Middle Schools,Washington,1137.0,-28.0,2014
79,Middle Schools,Whitman,906.0,-49.0,2014
80,High Schools,Ballard,1634.0,52.0,2014
81,High Schools,Center School,276.0,-7.0,2014
82,High Schools,Chief Sealth Intl,1212.0,-37.0,2014
83,High Schools,Cleveland,820.0,-23.0,2014
84,High Schools,Franklin,1336.0,-37.0,2014
85,High Schools,Garfield,1586.0,-18.0,2014
86,High Schools,Ingraham,1203.0,129.0,2014
87,High Schools,Nathan Hale,1141.0,22.0,2014
88,High Schools,Nova,341.0,10.0,2014
89,High Schools,Rainier Beach,600.0,116.0,2014
90,High Schools,Roosevelt,1695.0,-17.0,2014
91,High Schools,West Seattle,998.0,34.0,2014
92,Service Schools,Cascade Parent Partnership Program,146.0,0.0,2014
93,Service Schools,Education Service Ctrs,13.0,-2.0,2014
94,Service Schools,InterAgency,406.0,-60.0,2014
95,Service Schools,Middle College,206.0,43.0,2014
96,Service Schools,Seattle World School,244.0,20.0,2014
97,Service Schools,South Lake,111.0,4.0,2014
98,Service Schools,SpEd Consortium,133.0,-5.0,2014
99,All,TOTAL,51988.0,978.0,2014
0,Aki Kurose,Dunlap,300.0,-80.0,2015
1,Aki Kurose,Emerson,314.0,40.0,2015
2,Aki Kurose,Graham Hill,351.0,-34.0,2015
3,Aki Kurose,Martin Luther King Jr.,323.0,-44.0,2015
4,Aki Kurose,Rainier View,236.0,48.0,2015
5,Aki Kurose,South Shore,618.0,-23.0,2015
6,Aki Kurose,Wing Luke,361.0,13.0,2015
7,Denny,Arbor Heights,408.0,37.0,2015
8,Denny,Concord Intl,401.0,-11.0,2015
9,Denny,Highland Park,355.0,-8.0,2015
10,Denny,Roxhill,305.0,-67.0,2015
11,Denny,STEM K-8,405.0,51.0,2015
12,Denny,West Seattle Elem,416.0,-5.0,2015
13,Eckstein,Bryant,592.0,3.0,2015
14,Eckstein,Green Lake,334.0,38.0,2015
15,Eckstein,Hazel Wolf K-8,756.0,45.0,2015
16,Eckstein,Laurelhurst,432.0,11.0,2015
17,Eckstein,Olympic View,453.0,-19.0,2015
18,Eckstein,Sand Point,256.0,-3.0,2015
19,Eckstein,Thornton Creek,415.0,13.0,2015
