,neighborhood,neighborhood_no,area,Year,Indicator Name,Value
10,Lake City,201,142.2670425,2020,population_kids,622.0
11,Greater Duwamish,502,4953.281793,2020,population_kids,245.0
12,Madison-Miller,131,145.3234203,2020,population_kids,482.0
13,Green Lake,207,107.4446385,2020,population_kids,265.0
14,Northgate,301,412.2911233,2020,population_kids,862.0
15,North Beacon Hill,110,266.8762908,2020,population_kids,857.0
16,Ballard-Interbay-Northend,501,931.9728637,2020,population_kids,205.0
17,Greenwood-Phinney Ridge,102,94.15764497,2020,population_kids,410.0
18,Downtown,413,953.2817465,2020,population_kids,1607.0
19,Uptown,412,333.000698,2020,population_kids,596.0
20,Rainier Beach,204,346.1438736,2020,population_kids,1280.0
21,23rd & Union-Jackson,109,625.2664128,2020,population_kids,1902.0
22,Bitter Lake Village,114,363.7795662,2020,population_kids,929.0
23,Mt Baker,305,491.0180584,2020,population_kids,1072.0
24,Admiral,113,98.24835065,2020,population_kids,215.0
25,Aurora-Licton Springs,101,326.9585992,2020,population_kids,828.0
26,Morgan Junction,206,113.3093773,2020,population_kids,294.0
27,Eastlake,107,199.2559558,2020,population_kids,340.0
28,Wallingford,203,258.0056129,2020,population_kids,839.0
29,Ballard,303,495.4763052,2020,population_kids,1343.0
30,South Park,128,263.7986201,2020,population_kids,685.0
31,Othello,123,498.9632413,2020,population_kids,2817.0
0,Upper Queen Anne,106,52.65872029,1990,density_kids,2.3737758781756373
1,Fremont,302,214.511083,1990,density_kids,1.240029169028996
2,West Seattle Junction,205,270.4170255,1990,density_kids,1.5272707006386326
3,Columbia City,111,334.5433404,1990,density_kids,3.9905143483167063
4,First Hill/Capitol Hill,414,916.2218015,1990,density_kids,1.8870976407343218
5,Roosevelt,202,170.2117761,1990,density_kids,1.7331350788954019
6,South Lake Union,312,339.886927,1990,density_kids,0.23537239489061018
7,University District,401,751.9638778,1990,density_kids,0.7872718590313116
8,Crown Hill,103,270.9887543,1990,density_kids,2.1366200287374806
9,Westwood-Highland Park,127,275.0621961,1990,density_kids,3.526475152722741
10,Lake City,201,142.2670425,1990,density_kids,1.7783458175142708
11,Greater Duwamish,502,4953.281793,1990,density_kids,0.02987918034648347
12,Madison-Miller,131,145.3234203,1990,density_kids,3.3029775861943427
13,Green Lake,207,107.4446385,1990,density_kids,0.9586332220755716
14,Northgate,301,412.2911233,1990,density_kids,1.06478159531115
15,North Beacon Hill,110,266.8762908,1990,density_kids,3.7508015305494498
16,Ballard-Interbay-Northend,501,931.9728637,1990,density_kids,0.11481020979001709
17,Greenwood-Phinney Ridge,102,94.15764497,1990,density_kids,2.7613264975227425
18,Downtown,413,953.2817465,1990,density_kids,0.2895261563680848
19,Uptown,412,333.000698,1990,density_kids,0.516515433850532
20,Rainier Beach,204,346.1438736,1990,density_kids,3.348318685944237
21,23rd & Union-Jackson,109,625.2664128,1990,density_kids,3.2562120055075505
22,Bitter Lake Village,114,363.7795662,1990,density_kids,1.0418397161748005
23,Mt Baker,305,491.0180584,1990,density_kids,1.896060611362639
24,Admiral,113,98.24835065,1990,density_kids,1.475851747542797
25,Aurora-Licton Springs,101,326.9585992,1990,density_kids,2.278575947605785
26,Morgan Junction,206,113.3093773,1990,density_kids,1.6856504249803164
27,Eastlake,107,199.2559558,1990,density_kids,0.7126512200344477
28,Wallingford,203,258.0056129,1990,density_kids,1.7363963324845944
29,Ballard,303,495.4763052,1990,density_kids,1.9193652451576406
30,South Park,128,263.7986201,1990,density_kids,2.418511513662008
31,Othello,123,498.9632413,1990,density_kids,4.685715913478053
0,Upper Queen Anne,106,52.65872029,2000,density_kids,2.3927660852010426
1,Fremont,302,214.511083,2000,density_kids,0.7971616086614974
2,West Seattle Junction,205,270.4170255,2000,density_kids,1.6049285328744953
3,Columbia City,111,334.5433404,2000,density_kids,4.253559488879905
4,First Hill/Capitol Hill,414,916.2218015,2000,density_kids,2.0529963344252513
5,Roosevelt,202,170.2117761,2000,density_kids,1.6508846005749422
6,South Lake Union,312,339.886927,2000,density_kids,0.35894290220818054
